,precision,recall,f1-score,support
BENIGN,0.999993766635292,0.9995264856512691,0.9997600715423037,160502.0
Bot,0.7172774869109948,1.0,0.8353658536585366,137.0
Brute Force,1.0,1.0,1.0,954.0
DDoS,0.9996706553957624,0.9998901943559899,0.9997804128238911,9107.0
DoS,0.9986017897091722,0.999664072560327,0.9991326487787136,17861.0
Port Scan,1.0,0.9994690735333156,0.9997344662772172,11301.0
Web Attack,0.9513888888888888,0.9927536231884058,0.9716312056737588,138.0
accuracy,0.99955,0.99955,0.99955,0.99955
macro avg,0.9524189410771585,0.9987576356127581,0.9722006655363459,200000.0
weighted avg,0.9996279271977792,0.99955,0.9995726444691982,200000.0
