Modelo,Accuracy,F1_Macro,F1_Weighted,Train_Time,Train_Samples,Test_Samples,Experimento,Tipo,Clasificacion
Dummy,0.80251,0.12720515915505123,0.7145838859146413,0:00:00.195730,2830493,200000,"EXPERIMENTO 1: TSTR MULTICLASE (Train Synthetic, Test Real)",TSTR,Multiclase
LogisticReg,0.949775,0.5255270396094247,0.9351276591955441,0:00:52.598950,2830493,200000,"EXPERIMENTO 1: TSTR MULTICLASE (Train Synthetic, Test Real)",TSTR,Multiclase
RandomForest,0.996355,0.8908125667923148,0.996548266837495,0:00:58.288432,2830493,200000,"EXPERIMENTO 1: TSTR MULTICLASE (Train Synthetic, Test Real)",TSTR,Multiclase
KNeighbors,0.974775,0.8733030546029498,0.9721772961199386,0:00:00.400241,2830493,200000,"EXPERIMENTO 1: TSTR MULTICLASE (Train Synthetic, Test Real)",TSTR,Multiclase
LightGBM,0.75148,0.5303051965446247,0.7843699617047749,0:00:13.252133,2830493,200000,"EXPERIMENTO 1: TSTR MULTICLASE (Train Synthetic, Test Real)",TSTR,Multiclase
XGBoost,0.996115,0.8742875563913503,0.996536209563824,0:00:07.263184,2830493,200000,"EXPERIMENTO 1: TSTR MULTICLASE (Train Synthetic, Test Real)",TSTR,Multiclase
Voting,0.983075,0.8322278842842016,0.9825846025860877,0:00:40.955906,2830493,200000,"EXPERIMENTO 1: TSTR MULTICLASE (Train Synthetic, Test Real)",TSTR,Multiclase
Dummy,0.80251,0.12720515915505123,0.7145838859146413,0:00:00.002184,69727,200000,"EXPERIMENTO 2: TRTR MULTICLASE (Train Real, Test Real) - BASELINE",TRTR,Multiclase
LogisticReg,0.948515,0.7034423481668995,0.9540813991602798,0:00:06.378625,69727,200000,"EXPERIMENTO 2: TRTR MULTICLASE (Train Real, Test Real) - BASELINE",TRTR,Multiclase
RandomForest,0.999435,0.9656923109834258,0.9994744968891232,0:00:01.528516,69727,200000,"EXPERIMENTO 2: TRTR MULTICLASE (Train Real, Test Real) - BASELINE",TRTR,Multiclase
KNeighbors,0.995845,0.9180840237652543,0.9961595290135025,0:00:00.003730,69727,200000,"EXPERIMENTO 2: TRTR MULTICLASE (Train Real, Test Real) - BASELINE",TRTR,Multiclase
LightGBM,0.999575,0.97135639433836,0.9995985158081073,0:00:22.641511,69727,200000,"EXPERIMENTO 2: TRTR MULTICLASE (Train Real, Test Real) - BASELINE",TRTR,Multiclase
XGBoost,0.99955,0.9722006655363459,0.9995726444691982,0:00:01.260139,69727,200000,"EXPERIMENTO 2: TRTR MULTICLASE (Train Real, Test Real) - BASELINE",TRTR,Multiclase
Voting,0.99947,0.9661090413715977,0.9995059789631056,0:00:03.561975,69727,200000,"EXPERIMENTO 2: TRTR MULTICLASE (Train Real, Test Real) - BASELINE",TRTR,Multiclase
Dummy,0.80251,0.44521805704267936,0.7145838859146413,0:00:00.057011,2830493,200000,"EXPERIMENTO 3: TSTR BINARIO (Train Synthetic, Test Real)",TSTR,Binaria
LogisticReg,0.99763,0.9962686557741236,0.9976322538065392,0:00:07.302298,2830493,200000,"EXPERIMENTO 3: TSTR BINARIO (Train Synthetic, Test Real)",TSTR,Binaria
RandomForest,0.998205,0.9971758459937633,0.9982073100621677,0:00:58.737216,2830493,200000,"EXPERIMENTO 3: TSTR BINARIO (Train Synthetic, Test Real)",TSTR,Binaria
KNeighbors,0.99893,0.998315416714,0.9989310276802021,0:00:00.264468,2830493,200000,"EXPERIMENTO 3: TSTR BINARIO (Train Synthetic, Test Real)",TSTR,Binaria
LightGBM,0.97088,0.9564263056353695,0.971609786839121,0:00:04.729339,2830493,200000,"EXPERIMENTO 3: TSTR BINARIO (Train Synthetic, Test Real)",TSTR,Binaria
XGBoost,0.996805,0.9949906450443191,0.9968146321423725,0:00:01.280938,2830493,200000,"EXPERIMENTO 3: TSTR BINARIO (Train Synthetic, Test Real)",TSTR,Binaria
Voting,0.99895,0.9983468413688685,0.9989509885718338,0:00:29.817420,2830493,200000,"EXPERIMENTO 3: TSTR BINARIO (Train Synthetic, Test Real)",TSTR,Binaria
Dummy,0.19749,0.16491995757793385,0.0651400848441323,0:00:00.004399,69727,200000,"EXPERIMENTO 4: TRTR BINARIO (Train Real, Test Real) - BASELINE",TRTR,Binaria
LogisticReg,0.977575,0.9660341398519139,0.9780128520036282,0:00:00.338462,69727,200000,"EXPERIMENTO 4: TRTR BINARIO (Train Real, Test Real) - BASELINE",TRTR,Binaria
RandomForest,0.999505,0.9992199190433757,0.9995052334313281,0:00:01.566826,69727,200000,"EXPERIMENTO 4: TRTR BINARIO (Train Real, Test Real) - BASELINE",TRTR,Binaria
KNeighbors,0.99827,0.997279947107405,0.9982728061700392,0:00:00.005282,69727,200000,"EXPERIMENTO 4: TRTR BINARIO (Train Real, Test Real) - BASELINE",TRTR,Binaria
LightGBM,0.999655,0.9994561517581563,0.9996551134537452,0:00:03.388804,69727,200000,"EXPERIMENTO 4: TRTR BINARIO (Train Real, Test Real) - BASELINE",TRTR,Binaria
XGBoost,0.99955,0.9992907746816473,0.9995501929493578,0:00:00.185200,69727,200000,"EXPERIMENTO 4: TRTR BINARIO (Train Real, Test Real) - BASELINE",TRTR,Binaria
Voting,0.99959,0.9993537676702464,0.999590160194597,0:00:01.263528,69727,200000,"EXPERIMENTO 4: TRTR BINARIO (Train Real, Test Real) - BASELINE",TRTR,Binaria
