Experimento,Modelo,Accuracy,F1_Macro,F1_Weighted
TSTR_Multi,Dummy,0.80251,0.12720515915505123,0.7145838859146413
TSTR_Multi,LogisticReg,0.936315,0.5955835275570242,0.9463034640533302
TSTR_Multi,RandomForest,0.989705,0.7735267118160268,0.9929385985966053
TSTR_Multi,KNeighbors,0.974205,0.7836986796959377,0.972688521638313
TSTR_Multi,LightGBM,0.983335,0.7572265478135595,0.9877379937695013
TSTR_Multi,XGBoost,0.98502,0.7514477240388205,0.9905260038663192
TSTR_Multi,Voting,0.978,0.7554885064855519,0.9799332760916369
TRTR_Multi,Dummy,0.80251,0.12720515915505123,0.7145838859146413
TRTR_Multi,LogisticReg,0.948515,0.7034423481668995,0.9540813991602798
TRTR_Multi,RandomForest,0.999435,0.9656923109834258,0.9994744968891232
TRTR_Multi,KNeighbors,0.995845,0.9180840237652543,0.9961595290135025
TRTR_Multi,LightGBM,0.999575,0.97135639433836,0.9995985158081073
TRTR_Multi,XGBoost,0.99955,0.9722006655363459,0.9995726444691982
TRTR_Multi,Voting,0.99947,0.9661090413715977,0.9995059789631056
TSTR_Binary,Dummy,0.19749,0.16491995757793385,0.0651400848441323
TSTR_Binary,LogisticReg,0.96726,0.9513131807620838,0.9681714299195756
TSTR_Binary,RandomForest,0.997455,0.9960048593115964,0.997461125744723
TSTR_Binary,KNeighbors,0.99816,0.9971074896080323,0.9981631406762135
TSTR_Binary,LightGBM,0.992445,0.9882508204774851,0.9924979647006106
TSTR_Binary,XGBoost,0.98903,0.9830475628787354,0.9891404744301326
TSTR_Binary,Voting,0.994405,0.9912670596028381,0.9944342365262591
TRTR_Binary,Dummy,0.19749,0.16491995757793385,0.0651400848441323
TRTR_Binary,LogisticReg,0.977575,0.9660341398519139,0.9780128520036282
TRTR_Binary,RandomForest,0.999505,0.9992199190433757,0.9995052334313281
TRTR_Binary,KNeighbors,0.99827,0.997279947107405,0.9982728061700392
TRTR_Binary,LightGBM,0.999655,0.9994561517581563,0.9996551134537452
TRTR_Binary,XGBoost,0.99955,0.9992907746816473,0.9995501929493578
TRTR_Binary,Voting,0.99959,0.9993537676702464,0.999590160194597
